,DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
3784,223,FX,TUL,"Tulsa, OK",MCI,"Kansas City, MO"
3785,223,LF,FTY,"Atlanta, GA",JZI,"Portland, TN"
3786,223,04Q,DXR,"Danbury, CT",MVL,"Morrisville, VT"
3787,223,27Q,PSM,"Portsmouth, NH",LGA,"New York, NY"
3788,224,YX,TVC,"Traverse City, MI",ORD,"Chicago, IL"
3789,224,YX,ORD,"Chicago, IL",TVC,"Traverse City, MI"
3790,224,YX,IAH,"Houston, TX",DFW,"Dallas/Fort Worth, TX"
3791,224,YX,DFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX"
3792,224,5X,ICT,"Wichita, KS",SGF,"Springfield, MO"
3793,224,5X,SGF,"Springfield, MO",ICT,"Wichita, KS"
3794,224,YV,RDU,"Raleigh/Durham, NC",IAD,"Washington, DC"
3795,224,YV,IAD,"Washington, DC",RDU,"Raleigh/Durham, NC"
3796,224,AS,GEG,"Spokane, WA",SEA,"Seattle, WA"
3797,224,AS,SEA,"Seattle, WA",GEG,"Spokane, WA"
3798,224,GL,DTW,"Detroit, MI",LAF,"Lafayette, IN"
3799,224,8E,PHO,"Point Hope, AK",BKC,"Buckland, AK"
3800,224,LF,HSV,"Huntsville, AL",MCN,"Macon, GA"
3801,224,ZW,ELM,"Elmira/Corning, NY",IAD,"Washington, DC"
